Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
War Theatre,Arcade Distillery,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
Warframe,Unknown,,,,,,,,,
Wargroove Read the review,Chucklefish,8.0,,,,01st Feb 19,19,2019-02-01,2019-02-01,669.0
"Warhammer 40,000: Deathwatch",Funbox Media,,,,,10th May 19,19,2019-05-10,2019-05-10,571.0
Warhammer Age of Sigmar: Champions,Games Workshop,,,,,15th Apr 19,19,2019-04-15,2019-04-15,596.0
Warlocks 2: God Slayers,Unknown,,,,,,,,,
Warp Shift,Isbit Games,,,,,27th Mar 18,18,2018-03-27,2018-03-27,980.0
WARSAW,Crunching Koalas,,,,,01st Oct 20,20,2020-10-01,2020-10-01,61.0
Wasteland 2: Director's Cut,inXile Entertainment,,,,,13th Sep 18,18,2018-09-13,2018-09-13,810.0
West of Dead,Unknown,,,,,,,,,
West of Loathing,Asymmetric,,,,,01st May 18,18,2018-05-01,2018-05-01,945.0
What the Golf? Read the review,Tribute Games,9.0,,,,21st May 20,20,2020-05-21,2020-05-21,194.0
Wheels of Aurelia,Mixedbag Srl,,,,,02nd Nov 17,17,2017-11-02,2017-11-02,1125.0
Whipseey and the Lost Atlas Read the review,Unknown,5.0,,,,,,,,
WILL: A Wonderful World,PM Studios,,,,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
Windbound Read the review,Deep Silver,4.0,,,,28th Aug 20,20,2020-08-28,2020-08-28,95.0
Windjammers 2,DotEmu,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Winning Post 9,Koei Tecmo,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Winning Post 9 2020,Koei Tecmo,,,,,12th Mar 20,20,2020-03-12,2020-03-12,264.0
Witch & Hero 3,Unknown,,,,,,,,,
Wizard's Symphony,Arc System Works,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Wolfenstein: Youngblood,Bethesda Softworks,,,,,26th Jul 19,19,2019-07-26,2019-07-26,494.0
Wonder Boy Returns Remix,Unknown,,,,,23rd May 19,19,2019-05-23,2019-05-23,558.0
Woodle Tree Adventures,Chubby Pixel,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
World Conqueror X,CIRCLE Entertainment,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
World of Final Fantasy Maxima,Square Enix,,,,,06th Nov 18,18,2018-11-06,2018-11-06,756.0
World of Goo,Tomorrow Corporation,,,,,16th Mar 17,17,2017-03-16,2017-03-16,1356.0
World to the West,Rain Games,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
Worms: WMD,Team17 Digital Ltd,,,,,23rd Nov 17,17,2017-11-23,2017-11-23,1104.0
Wrath: Aeon of Ruin,3D Realms,,,,,25th Feb 21,21,2021-02-25,2021-02-25,-86.0
WRC 8,Bigben Interactive,,,,,30th Sep 19,19,2019-09-30,2019-09-30,428.0
WRC 9,Nacon,,,,,03rd Sep 20,20,2020-09-03,2020-09-03,89.0
Wulverblade,Darkwind Media,,,,,12th Oct 17,17,2017-10-12,2017-10-12,1146.0
WWE 2K Battlegrounds,2K Sports,,,,,18th Sep 20,20,2020-09-18,2020-09-18,74.0
X-Morph: Defense,EXOR Studios,,,,,21st Feb 19,19,2019-02-21,2019-02-21,649.0
XCOM 2 Collection,2K Games,,,,,29th May 20,20,2020-05-29,2020-05-29,186.0
Xeno Crisis,Unknown,,,,,,,,,
Xenon Racer,Soedesco,,,,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
Xenon Valkyrie+,COWCAT,,,,,01st Jan 19,19,2019-01-01,2019-01-01,700.0
Xenoraid,10tons Ltd,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Xeodrifter,Atooi,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
XIII,Ubisoft,,,,,10th Nov 20,20,2020-11-10,2020-11-10,21.0
Yesterday Origins,Unknown,,,,,,,,,
YIIK: A Postmodern RPG,Ysbryd Games,,,,,17th Jan 19,19,2019-01-17,2019-01-17,684.0
Yo-kai Watch 1 for Nintendo Switch,Nintendo,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Yo-kai Watch 4++,Unknown,,,,,,,,,
Yodanji,Kemco,,,9.0,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Yokai Watch 4,Level 5,,,,,20th Jun 19,19,2019-06-20,2019-06-20,530.0
Yono and the Celestial Elephants,Plug In Digital,,,,,12th Oct 17,17,2017-10-12,2017-10-12,1146.0
Yooka-Laylee,Team17 Digital Ltd,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Yooka-Laylee and the Impossible Lair Read the review,Team 17,8.0,,,,08th Oct 19,19,2019-10-08,2019-10-08,420.0
"Yoru, Tomosu",Nippon Ichi Software,,,,,30th Jul 20,20,2020-07-30,2020-07-30,124.0
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Konami,,,,,31st Aug 19,19,2019-08-31,2019-08-31,458.0
Yunohana SpRING! ~Mellow Times~,Idea Factory,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Yuppie Psycho,Unknown,,,,,,,,,
Zarvot Read the review,Unknown,6.0,,,,,,,,
ZERO GUNNER 2,Zerodiv,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Zoids Wild: Blast Unleashed,Outright Games,,,,,16th Oct 20,20,2020-10-16,2020-10-16,46.0
Zoids Wild: King of Blast,Takara Tomy,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Zombie Army Trilogy,Unknown,,,,,,,,,
ZOMBIE GOLD RUSH,Amazing Inc.,,,,,26th Oct 17,17,2017-10-26,2017-10-26,1132.0
Zombieland: Double Tap - Road Trip,GameMill Entertainment,,,,,15th Oct 19,19,2019-10-15,2019-10-15,413.0
Zombillie,Forever Entertainment S.A.,,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
